date,age20,age30,age60,age40,age50,age70,age80,age10,age90,age_under10,age_over100,age_unkwown
2020-03-15,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17,NA,NA,3,4,5,NA,NA,NA,NA,NA,NA,NA
2020-03-18,3,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA
2020-03-19,1,NA,1,3,1,NA,1,NA,NA,NA,NA,NA
2020-03-20,2,NA,3,2,3,1,NA,NA,NA,NA,NA,NA
2020-03-21,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2020-03-22,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23,NA,2,1,6,3,4,NA,NA,NA,NA,NA,NA
2020-03-24,3,6,3,2,2,1,NA,1,NA,NA,NA,NA
2020-03-25,4,4,8,9,7,3,1,2,3,NA,NA,NA
2020-03-26,5,6,5,9,6,11,2,NA,1,1,NA,NA
2020-03-27,3,9,4,11,1,7,2,NA,3,NA,NA,NA
2020-03-28,7,8,10,8,6,17,6,1,NA,1,NA,NA
2020-03-29,19,24,5,9,9,4,1,1,NA,NA,NA,NA
2020-03-30,NA,2,1,6,NA,1,1,1,NA,NA,NA,NA
2020-03-31,14,20,6,14,11,5,3,2,1,2,NA,NA
2020-04-01,10,16,8,19,11,2,NA,1,NA,NA,NA,NA
2020-04-02,20,16,9,19,14,10,3,4,1,2,NA,NA
2020-04-03,11,23,11,18,14,10,4,1,NA,NA,NA,NA
2020-04-04,19,21,15,18,17,16,7,2,3,NA,NA,NA
2020-04-05,38,34,13,20,17,4,11,1,3,NA,NA,NA
2020-04-06,18,21,12,16,11,7,NA,NA,NA,NA,NA,NA
2020-04-07,14,22,8,18,14,5,3,1,NA,2,NA,NA
2020-04-08,32,36,18,20,24,14,10,1,1,NA,NA,NA
2020-04-09,20,43,19,36,31,17,10,2,NA,5,NA,NA
2020-04-10,54,43,19,30,36,10,4,2,1,NA,NA,NA
2020-04-11,34,37,18,48,46,9,NA,5,NA,1,NA,NA
2020-04-12,24,23,12,19,20,24,26,NA,23,2,1,NA
2020-04-13,21,19,8,17,27,4,2,1,NA,1,NA,NA
2020-04-14,29,24,19,42,28,11,1,1,1,2,NA,1
2020-04-15,19,15,18,20,25,13,14,NA,NA,3,NA,NA
