第1-1-18図　1週間の総運動時間,,,,

1週間の総運動時間（分）,小学生男子,小学生女子,中学生男子,中学生女子
0,10.5,22.6,9.5,31.6
60,6.6,13.3,2.1,4.3
120,5.9,10.3,1.5,2.3
180,5.0,7.8,1.4,1.6
240,4.3,5.8,1.1,1.1
300,3.5,4.3,0.9,0.8
360,3.4,3.9,1.4,1.1
420,3.0,3.2,1.3,1.1
480,3.2,3.1,2.4,1.9
540,3.0,2.6,2.6,2.2
600,3.2,2.7,3.9,3.1
660,3.1,2.3,5.1,4.4
720,3.3,2.3,5.7,4.5
780,3.1,2.0,5.9,4.9
840,3.2,1.9,6.5,4.8
900,3.0,1.7,6.1,4.4
960,3.1,1.5,6.7,4.6
1020,2.8,1.3,5.0,3.4
1080,2.8,1.2,5.8,3.7
1140,2.5,1.0,3.8,2.5
1200,2.5,0.9,4.2,2.7
1260,2.2,0.7,2.6,1.6
1320,2.1,0.6,2.9,1.6
1380,1.8,0.5,1.7,1.0
1440,1.8,0.5,1.9,1.1
1500,1.4,0.3,1.1,0.6
1560,1.4,0.4,1.4,0.7
1620,1.2,0.3,0.8,0.4
1680,1.2,0.2,1.0,0.5
1740,1.0,0.2,0.6,0.3
1800,0.9,0.2,0.7,0.4
1860,0.7,0.1,0.4,0.2
1920,0.7,0.1,0.5,0.2
1980,0.6,0.1,0.2,0.1
2040,0.5,0.1,0.3,0.1
2100,0.4,0.0,0.2,0.1
2160,0.3,0.0,0.2,0.1
2220,0.2,0.0,0.1,0.0
2280,0.2,0.0,0.1,0.0
2340,0.2,0.0,0.0,0.0
2400,0.1,0.0,0.1,0.0

資料：文部科学省「平成21年度全国体力・運動能力、運動習慣等調査結果について（概要版）」,,,,
